Nif_Arcticibacter_svalbardensis,nif-ii
Nif_bacterium_BMS3Abin10,nif-ii
Nif_bacterium_BMS3Abin13,nif-ii
Nif_Bacteroidales_bacterium,nif-ii
Nif_Bacteroidales_bacterium_Barb6XT,nif-ii
Nif_Bacteroides_graminisolvens,nif-ii
Nif_Bacteroides_luti,nif-ii
Nif_Candidatus_Achromatium_palustre,nif-ii
Nif_Candidatus_Azobacteroides_pseudotrichonymphae,nif-ii
Nif_Candidatus_Dadabacteria_bacterium,nif-ii
Nif_Candidatus_Electronema_sp_GS,nif-ii
Nif_Candidatus_Margulisbacteria_bacterium_GWD2_39_127,nif-ii
Nif_Candidatus_Marispirochaeta_associata,nif-ii
Nif_Carboxydocella_sp_ULO1,nif-ii
Nif_Cellulosilyticum_lentocellum,nif-ii
Nif_Chlorobium_chlorochromatii,nif-ii
Nif_Chloroflexi_bacterium,nif-ii
Nif_Chloroherpeton_thalassium,nif-ii
Nif_Clostridiales_bacterium_43-6,nif-ii
Nif_Clostridiales_bacterium_DRI-13,nif-ii
Nif_Clostridium_algidixylanolyticum,nif-ii
Nif_Clostridium_fimetarium,nif-ii
Nif_Clostridium_pasteurianum,nif-ii
Nif_Clostridium_populeti,nif-ii
Nif_Coleofasciculus_chthonoplastes,nif-ii
Nif_Coraliomargarita_akajimensis,nif-ii
Nif_Cytophaga_xylanolytica,nif-ii
Nif_Defluviitalea_phaphyphila,nif-ii
Nif_Dehalococcoides_mccartyi,nif-ii
Nif_Dehalogenimonas_sp_WBC-2,nif-ii
Nif_delta_proteobacterium_NaphS2,nif-ii
Nif_Deltaproteobacteria_bacterium,nif-ii
Nif_Deltaproteobacteria_bacterium_HGW-Deltaproteobacteria-8,nif-ii
Nif_Dendrosporobacter_quercicolus,nif-ii
Nif_Desulfacinum_infernum,nif-ii
Nif_Desulfallas_arcticus,nif-ii
Nif_Desulfamplus_magnetovallimortis,nif-ii
Nif_Desulfatibacillum_aliphaticivorans,nif-ii
Nif_Desulfatitalea_sp_BRH_c12,nif-ii
Nif_Desulfobacca_acetoxidans,nif-ii
